GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,RP7E001
"G06000104004004","2005-2009",,,"California","06","Alameda County","001",,,"400400","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4004, Alameda County, California",315
"G06000104005001","2005-2009",,,"California","06","Alameda County","001",,,"400500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4005, Alameda County, California",619
"G06000104005002","2005-2009",,,"California","06","Alameda County","001",,,"400500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4005, Alameda County, California",308
"G06000104005003","2005-2009",,,"California","06","Alameda County","001",,,"400500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4005, Alameda County, California",474
"G06000104005004","2005-2009",,,"California","06","Alameda County","001",,,"400500","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4005, Alameda County, California",334
"G06000104006001","2005-2009",,,"California","06","Alameda County","001",,,"400600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4006, Alameda County, California",473
"G06000104006002","2005-2009",,,"California","06","Alameda County","001",,,"400600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4006, Alameda County, California",311
"G06000104007001","2005-2009",,,"California","06","Alameda County","001",,,"400700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4007, Alameda County, California",465
"G06000104007002","2005-2009",,,"California","06","Alameda County","001",,,"400700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4007, Alameda County, California",779
"G06000104007003","2005-2009",,,"California","06","Alameda County","001",,,"400700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4007, Alameda County, California",376
"G06000104007004","2005-2009",,,"California","06","Alameda County","001",,,"400700","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4007, Alameda County, California",396
"G06000104008001","2005-2009",,,"California","06","Alameda County","001",,,"400800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4008, Alameda County, California",711
"G06000104008002","2005-2009",,,"California","06","Alameda County","001",,,"400800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4008, Alameda County, California",415
"G06000104008003","2005-2009",,,"California","06","Alameda County","001",,,"400800","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4008, Alameda County, California",552
"G06000104009001","2005-2009",,,"California","06","Alameda County","001",,,"400900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4009, Alameda County, California",676
"G06000104009002","2005-2009",,,"California","06","Alameda County","001",,,"400900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4009, Alameda County, California",522
"G06000104010001","2005-2009",,,"California","06","Alameda County","001",,,"401000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4010, Alameda County, California",382
"G06000104010002","2005-2009",,,"California","06","Alameda County","001",,,"401000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4010, Alameda County, California",474
"G06000104010003","2005-2009",,,"California","06","Alameda County","001",,,"401000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4010, Alameda County, California",532
"G06000104010004","2005-2009",,,"California","06","Alameda County","001",,,"401000","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4010, Alameda County, California",308
"G06000104010005","2005-2009",,,"California","06","Alameda County","001",,,"401000","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 4010, Alameda County, California",460
"G06000104010006","2005-2009",,,"California","06","Alameda County","001",,,"401000","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 4010, Alameda County, California",526
"G06000104011001","2005-2009",,,"California","06","Alameda County","001",,,"401100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4011, Alameda County, California",299
"G06000104011002","2005-2009",,,"California","06","Alameda County","001",,,"401100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4011, Alameda County, California",846
"G06000104011003","2005-2009",,,"California","06","Alameda County","001",,,"401100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4011, Alameda County, California",665
"G06000104011004","2005-2009",,,"California","06","Alameda County","001",,,"401100","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4011, Alameda County, California",495
"G06000104012001","2005-2009",,,"California","06","Alameda County","001",,,"401200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4012, Alameda County, California",624
"G06000104012002","2005-2009",,,"California","06","Alameda County","001",,,"401200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4012, Alameda County, California",425
"G06000104012003","2005-2009",,,"California","06","Alameda County","001",,,"401200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4012, Alameda County, California",365
"G06000104013001","2005-2009",,,"California","06","Alameda County","001",,,"401300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4013, Alameda County, California",465
"G06000104013002","2005-2009",,,"California","06","Alameda County","001",,,"401300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4013, Alameda County, California",758
"G06000104013003","2005-2009",,,"California","06","Alameda County","001",,,"401300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4013, Alameda County, California",562
"G06000104014001","2005-2009",,,"California","06","Alameda County","001",,,"401400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4014, Alameda County, California",403
"G06000104014002","2005-2009",,,"California","06","Alameda County","001",,,"401400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4014, Alameda County, California",952
"G06000104014003","2005-2009",,,"California","06","Alameda County","001",,,"401400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4014, Alameda County, California",446
"G06000104015001","2005-2009",,,"California","06","Alameda County","001",,,"401500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4015, Alameda County, California",521
"G06000104015002","2005-2009",,,"California","06","Alameda County","001",,,"401500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4015, Alameda County, California",300
"G06000104015003","2005-2009",,,"California","06","Alameda County","001",,,"401500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4015, Alameda County, California",415
"G06000104016001","2005-2009",,,"California","06","Alameda County","001",,,"401600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4016, Alameda County, California",410
"G06000104016002","2005-2009",,,"California","06","Alameda County","001",,,"401600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4016, Alameda County, California",490
"G06000104017001","2005-2009",,,"California","06","Alameda County","001",,,"401700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4017, Alameda County, California",424
"G06000104017002","2005-2009",,,"California","06","Alameda County","001",,,"401700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4017, Alameda County, California",376
"G06000104017003","2005-2009",,,"California","06","Alameda County","001",,,"401700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4017, Alameda County, California",0
"G06000104018001","2005-2009",,,"California","06","Alameda County","001",,,"401800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4018, Alameda County, California",420
"G06000104018002","2005-2009",,,"California","06","Alameda County","001",,,"401800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4018, Alameda County, California",396
"G06000104019001","2005-2009",,,"California","06","Alameda County","001",,,"401900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4019, Alameda County, California",256
"G06000104019002","2005-2009",,,"California","06","Alameda County","001",,,"401900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4019, Alameda County, California",0
"G06000104020001","2005-2009",,,"California","06","Alameda County","001",,,"402000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4020, Alameda County, California",31
"G06000104021001","2005-2009",,,"California","06","Alameda County","001",,,"402100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4021, Alameda County, California",903
"G06000104022001","2005-2009",,,"California","06","Alameda County","001",,,"402200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4022, Alameda County, California",397
"G06000104022002","2005-2009",,,"California","06","Alameda County","001",,,"402200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4022, Alameda County, California",391
"G06000104023001","2005-2009",,,"California","06","Alameda County","001",,,"402300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4023, Alameda County, California",146
"G06000104024001","2005-2009",,,"California","06","Alameda County","001",,,"402400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4024, Alameda County, California",591
"G06000104024002","2005-2009",,,"California","06","Alameda County","001",,,"402400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4024, Alameda County, California",613
"G06000104025001","2005-2009",,,"California","06","Alameda County","001",,,"402500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4025, Alameda County, California",158
"G06000104025002","2005-2009",,,"California","06","Alameda County","001",,,"402500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4025, Alameda County, California",218
"G06000104025003","2005-2009",,,"California","06","Alameda County","001",,,"402500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4025, Alameda County, California",448
"G06000104026001","2005-2009",,,"California","06","Alameda County","001",,,"402600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4026, Alameda County, California",262
"G06000104026002","2005-2009",,,"California","06","Alameda County","001",,,"402600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4026, Alameda County, California",360
"G06000104027001","2005-2009",,,"California","06","Alameda County","001",,,"402700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4027, Alameda County, California",342
"G06000104027002","2005-2009",,,"California","06","Alameda County","001",,,"402700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4027, Alameda County, California",447
"G06000104028001","2005-2009",,,"California","06","Alameda County","001",,,"402800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4028, Alameda County, California",1385
"G06000104029001","2005-2009",,,"California","06","Alameda County","001",,,"402900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4029, Alameda County, California",0
"G06000104029002","2005-2009",,,"California","06","Alameda County","001",,,"402900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4029, Alameda County, California",902
"G06000104030001","2005-2009",,,"California","06","Alameda County","001",,,"403000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4030, Alameda County, California",798
"G06000104030002","2005-2009",,,"California","06","Alameda County","001",,,"403000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4030, Alameda County, California",757
"G06000104031001","2005-2009",,,"California","06","Alameda County","001",,,"403100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4031, Alameda County, California",544
"G06000104032001","2005-2009",,,"California","06","Alameda County","001",,,"403200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4032, Alameda County, California",40
"G06000104033001","2005-2009",,,"California","06","Alameda County","001",,,"403300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4033, Alameda County, California",1524
"G06000104033002","2005-2009",,,"California","06","Alameda County","001",,,"403300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4033, Alameda County, California",758
"G06000104034001","2005-2009",,,"California","06","Alameda County","001",,,"403400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4034, Alameda County, California",591
"G06000104034002","2005-2009",,,"California","06","Alameda County","001",,,"403400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4034, Alameda County, California",843
"G06000104034003","2005-2009",,,"California","06","Alameda County","001",,,"403400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4034, Alameda County, California",1610
"G06000104035001","2005-2009",,,"California","06","Alameda County","001",,,"403500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4035, Alameda County, California",1247
"G06000104035002","2005-2009",,,"California","06","Alameda County","001",,,"403500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4035, Alameda County, California",1451
"G06000104035003","2005-2009",,,"California","06","Alameda County","001",,,"403500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4035, Alameda County, California",1115
"G06000104036001","2005-2009",,,"California","06","Alameda County","001",,,"403600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4036, Alameda County, California",1422
"G06000104036002","2005-2009",,,"California","06","Alameda County","001",,,"403600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4036, Alameda County, California",1499
"G06000104037001","2005-2009",,,"California","06","Alameda County","001",,,"403700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4037, Alameda County, California",1215
"G06000104037002","2005-2009",,,"California","06","Alameda County","001",,,"403700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4037, Alameda County, California",2321
"G06000104038001","2005-2009",,,"California","06","Alameda County","001",,,"403800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4038, Alameda County, California",203
"G06000104038002","2005-2009",,,"California","06","Alameda County","001",,,"403800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4038, Alameda County, California",548
"G06000104038003","2005-2009",,,"California","06","Alameda County","001",,,"403800","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4038, Alameda County, California",583
"G06000104038004","2005-2009",,,"California","06","Alameda County","001",,,"403800","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4038, Alameda County, California",804
"G06000104039001","2005-2009",,,"California","06","Alameda County","001",,,"403900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4039, Alameda County, California",872
"G06000104039002","2005-2009",,,"California","06","Alameda County","001",,,"403900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4039, Alameda County, California",415
"G06000104039003","2005-2009",,,"California","06","Alameda County","001",,,"403900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4039, Alameda County, California",1224
"G06000104040001","2005-2009",,,"California","06","Alameda County","001",,,"404000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4040, Alameda County, California",1300
"G06000104040002","2005-2009",,,"California","06","Alameda County","001",,,"404000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4040, Alameda County, California",620
"G06000104041001","2005-2009",,,"California","06","Alameda County","001",,,"404100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4041, Alameda County, California",724
"G06000104041002","2005-2009",,,"California","06","Alameda County","001",,,"404100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4041, Alameda County, California",1369
"G06000104041003","2005-2009",,,"California","06","Alameda County","001",,,"404100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4041, Alameda County, California",1706
"G06000104042001","2005-2009",,,"California","06","Alameda County","001",,,"404200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4042, Alameda County, California",386
"G06000104042002","2005-2009",,,"California","06","Alameda County","001",,,"404200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4042, Alameda County, California",539
"G06000104042003","2005-2009",,,"California","06","Alameda County","001",,,"404200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4042, Alameda County, California",573
"G06000104043001","2005-2009",,,"California","06","Alameda County","001",,,"404300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4043, Alameda County, California",514
"G06000104043002","2005-2009",,,"California","06","Alameda County","001",,,"404300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4043, Alameda County, California",412
"G06000104043003","2005-2009",,,"California","06","Alameda County","001",,,"404300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4043, Alameda County, California",571
"G06000104044001","2005-2009",,,"California","06","Alameda County","001",,,"404400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4044, Alameda County, California",1257
"G06000104044002","2005-2009",,,"California","06","Alameda County","001",,,"404400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4044, Alameda County, California",514
"G06000104044003","2005-2009",,,"California","06","Alameda County","001",,,"404400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4044, Alameda County, California",731
"G06000104045011","2005-2009",,,"California","06","Alameda County","001",,,"404501","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4045.01, Alameda County, California",748
"G06000104045021","2005-2009",,,"California","06","Alameda County","001",,,"404502","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4045.02, Alameda County, California",560
"G06000104045022","2005-2009",,,"California","06","Alameda County","001",,,"404502","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4045.02, Alameda County, California",585
"G06000104045023","2005-2009",,,"California","06","Alameda County","001",,,"404502","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4045.02, Alameda County, California",728
"G06000104045024","2005-2009",,,"California","06","Alameda County","001",,,"404502","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4045.02, Alameda County, California",831
"G06000104046001","2005-2009",,,"California","06","Alameda County","001",,,"404600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4046, Alameda County, California",551
"G06000104046002","2005-2009",,,"California","06","Alameda County","001",,,"404600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4046, Alameda County, California",379
"G06000104046003","2005-2009",,,"California","06","Alameda County","001",,,"404600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4046, Alameda County, California",507
"G06000104046004","2005-2009",,,"California","06","Alameda County","001",,,"404600","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4046, Alameda County, California",541
"G06000104047001","2005-2009",,,"California","06","Alameda County","001",,,"404700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4047, Alameda County, California",355
"G06000104047002","2005-2009",,,"California","06","Alameda County","001",,,"404700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4047, Alameda County, California",524
"G06000104048001","2005-2009",,,"California","06","Alameda County","001",,,"404800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4048, Alameda County, California",619
"G06000104048002","2005-2009",,,"California","06","Alameda County","001",,,"404800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4048, Alameda County, California",790
"G06000104049001","2005-2009",,,"California","06","Alameda County","001",,,"404900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4049, Alameda County, California",481
"G06000104049002","2005-2009",,,"California","06","Alameda County","001",,,"404900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4049, Alameda County, California",530
"G06000104049003","2005-2009",,,"California","06","Alameda County","001",,,"404900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4049, Alameda County, California",401
"G06000104049004","2005-2009",,,"California","06","Alameda County","001",,,"404900","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4049, Alameda County, California",634
"G06000104050001","2005-2009",,,"California","06","Alameda County","001",,,"405000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4050, Alameda County, California",393
"G06000104050002","2005-2009",,,"California","06","Alameda County","001",,,"405000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4050, Alameda County, California",590
"G06000104050003","2005-2009",,,"California","06","Alameda County","001",,,"405000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4050, Alameda County, California",747
"G06000104051001","2005-2009",,,"California","06","Alameda County","001",,,"405100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4051, Alameda County, California",402
"G06000104051002","2005-2009",,,"California","06","Alameda County","001",,,"405100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4051, Alameda County, California",272
"G06000104051003","2005-2009",,,"California","06","Alameda County","001",,,"405100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4051, Alameda County, California",326
"G06000104051004","2005-2009",,,"California","06","Alameda County","001",,,"405100","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4051, Alameda County, California",327
"G06000104051005","2005-2009",,,"California","06","Alameda County","001",,,"405100","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 4051, Alameda County, California",427
"G06000104052001","2005-2009",,,"California","06","Alameda County","001",,,"405200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4052, Alameda County, California",844
"G06000104052002","2005-2009",,,"California","06","Alameda County","001",,,"405200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4052, Alameda County, California",544
"G06000104052003","2005-2009",,,"California","06","Alameda County","001",,,"405200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4052, Alameda County, California",564
"G06000104052004","2005-2009",,,"California","06","Alameda County","001",,,"405200","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4052, Alameda County, California",798
"G06000104053001","2005-2009",,,"California","06","Alameda County","001",,,"405300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4053, Alameda County, California",1135
"G06000104053002","2005-2009",,,"California","06","Alameda County","001",,,"405300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4053, Alameda County, California",856
"G06000104053003","2005-2009",,,"California","06","Alameda County","001",,,"405300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4053, Alameda County, California",627
"G06000104053004","2005-2009",,,"California","06","Alameda County","001",,,"405300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4053, Alameda County, California",848
"G06000104054001","2005-2009",,,"California","06","Alameda County","001",,,"405400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4054, Alameda County, California",399
"G06000104054002","2005-2009",,,"California","06","Alameda County","001",,,"405400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4054, Alameda County, California",451
"G06000104054003","2005-2009",,,"California","06","Alameda County","001",,,"405400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4054, Alameda County, California",272
"G06000104054004","2005-2009",,,"California","06","Alameda County","001",,,"405400","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 4054, Alameda County, California",497
"G06000104054005","2005-2009",,,"California","06","Alameda County","001",,,"405400","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 4054, Alameda County, California",659
"G06000104054006","2005-2009",,,"California","06","Alameda County","001",,,"405400","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 4054, Alameda County, California",797
"G06000104055001","2005-2009",,,"California","06","Alameda County","001",,,"405500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4055, Alameda County, California",316
"G06000104055002","2005-2009",,,"California","06","Alameda County","001",,,"405500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4055, Alameda County, California",386
"G06000104055003","2005-2009",,,"California","06","Alameda County","001",,,"405500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 4055, Alameda County, California",315
