Id,Id2,Geography,Total,Margin of Error; Total
1500000US060871010002,060871010002,"Block Group 2, Census Tract 1010, Santa Cruz County, California",310,112
1500000US060871010003,060871010003,"Block Group 3, Census Tract 1010, Santa Cruz County, California",263,92
1500000US060871010004,060871010004,"Block Group 4, Census Tract 1010, Santa Cruz County, California",301,110
1500000US060871010005,060871010005,"Block Group 5, Census Tract 1010, Santa Cruz County, California",224,61
1500000US060871010006,060871010006,"Block Group 6, Census Tract 1010, Santa Cruz County, California",1274,231
1500000US060871010007,060871010007,"Block Group 7, Census Tract 1010, Santa Cruz County, California",626,173
1500000US060871011001,060871011001,"Block Group 1, Census Tract 1011, Santa Cruz County, California",388,94
1500000US060871011002,060871011002,"Block Group 2, Census Tract 1011, Santa Cruz County, California",409,100
1500000US060871011003,060871011003,"Block Group 3, Census Tract 1011, Santa Cruz County, California",313,79
1500000US060871011004,060871011004,"Block Group 4, Census Tract 1011, Santa Cruz County, California",747,129
1500000US060871011005,060871011005,"Block Group 5, Census Tract 1011, Santa Cruz County, California",455,111
1500000US060871012001,060871012001,"Block Group 1, Census Tract 1012, Santa Cruz County, California",300,75
1500000US060871012002,060871012002,"Block Group 2, Census Tract 1012, Santa Cruz County, California",421,69
1500000US060871012003,060871012003,"Block Group 3, Census Tract 1012, Santa Cruz County, California",656,89
1500000US060871101001,060871101001,"Block Group 1, Census Tract 1101, Santa Cruz County, California",459,149
1500000US060871101002,060871101002,"Block Group 2, Census Tract 1101, Santa Cruz County, California",332,118
1500000US060871101003,060871101003,"Block Group 3, Census Tract 1101, Santa Cruz County, California",568,148
1500000US060871101004,060871101004,"Block Group 4, Census Tract 1101, Santa Cruz County, California",1241,175
1500000US060871102001,060871102001,"Block Group 1, Census Tract 1102, Santa Cruz County, California",437,115
1500000US060871102002,060871102002,"Block Group 2, Census Tract 1102, Santa Cruz County, California",546,121
1500000US060871102003,060871102003,"Block Group 3, Census Tract 1102, Santa Cruz County, California",316,101
1500000US060871102004,060871102004,"Block Group 4, Census Tract 1102, Santa Cruz County, California",422,122
1500000US060871102005,060871102005,"Block Group 5, Census Tract 1102, Santa Cruz County, California",549,112
1500000US060871103001,060871103001,"Block Group 1, Census Tract 1103, Santa Cruz County, California",332,85
1500000US060871103002,060871103002,"Block Group 2, Census Tract 1103, Santa Cruz County, California",425,93
1500000US060871103003,060871103003,"Block Group 3, Census Tract 1103, Santa Cruz County, California",543,90
1500000US060871103004,060871103004,"Block Group 4, Census Tract 1103, Santa Cruz County, California",571,95
1500000US060871104001,060871104001,"Block Group 1, Census Tract 1104, Santa Cruz County, California",519,82
1500000US060871104002,060871104002,"Block Group 2, Census Tract 1104, Santa Cruz County, California",342,74
1500000US060871104003,060871104003,"Block Group 3, Census Tract 1104, Santa Cruz County, California",344,84
1500000US060871104004,060871104004,"Block Group 4, Census Tract 1104, Santa Cruz County, California",897,102
1500000US060871105011,060871105011,"Block Group 1, Census Tract 1105.01, Santa Cruz County, California",921,163
1500000US060871105012,060871105012,"Block Group 2, Census Tract 1105.01, Santa Cruz County, California",618,141
1500000US060871105013,060871105013,"Block Group 3, Census Tract 1105.01, Santa Cruz County, California",357,91
1500000US060871105014,060871105014,"Block Group 4, Census Tract 1105.01, Santa Cruz County, California",339,101
1500000US060871105021,060871105021,"Block Group 1, Census Tract 1105.02, Santa Cruz County, California",483,101
1500000US060871105022,060871105022,"Block Group 2, Census Tract 1105.02, Santa Cruz County, California",706,114
1500000US060871105023,060871105023,"Block Group 3, Census Tract 1105.02, Santa Cruz County, California",322,79
1500000US060871106001,060871106001,"Block Group 1, Census Tract 1106, Santa Cruz County, California",622,157
1500000US060871106002,060871106002,"Block Group 2, Census Tract 1106, Santa Cruz County, California",293,101
1500000US060871106003,060871106003,"Block Group 3, Census Tract 1106, Santa Cruz County, California",274,103
1500000US060871106004,060871106004,"Block Group 4, Census Tract 1106, Santa Cruz County, California",798,148
1500000US060871106005,060871106005,"Block Group 5, Census Tract 1106, Santa Cruz County, California",312,116
1500000US060871107001,060871107001,"Block Group 1, Census Tract 1107, Santa Cruz County, California",410,68
1500000US060871107002,060871107002,"Block Group 2, Census Tract 1107, Santa Cruz County, California",291,53
1500000US060871107003,060871107003,"Block Group 3, Census Tract 1107, Santa Cruz County, California",219,52
1500000US060871202001,060871202001,"Block Group 1, Census Tract 1202, Santa Cruz County, California",1275,98
1500000US060871202002,060871202002,"Block Group 2, Census Tract 1202, Santa Cruz County, California",543,71
1500000US060871203011,060871203011,"Block Group 1, Census Tract 1203.01, Santa Cruz County, California",1055,133
1500000US060871203012,060871203012,"Block Group 2, Census Tract 1203.01, Santa Cruz County, California",750,98
1500000US060871203013,060871203013,"Block Group 3, Census Tract 1203.01, Santa Cruz County, California",650,126
1500000US060871203021,060871203021,"Block Group 1, Census Tract 1203.02, Santa Cruz County, California",278,70
1500000US060871203022,060871203022,"Block Group 2, Census Tract 1203.02, Santa Cruz County, California",508,86
1500000US060871203023,060871203023,"Block Group 3, Census Tract 1203.02, Santa Cruz County, California",352,77
1500000US060871204001,060871204001,"Block Group 1, Census Tract 1204, Santa Cruz County, California",701,132
1500000US060871204002,060871204002,"Block Group 2, Census Tract 1204, Santa Cruz County, California",430,102
1500000US060871204003,060871204003,"Block Group 3, Census Tract 1204, Santa Cruz County, California",991,154
1500000US060871204004,060871204004,"Block Group 4, Census Tract 1204, Santa Cruz County, California",410,98
1500000US060871205001,060871205001,"Block Group 1, Census Tract 1205, Santa Cruz County, California",317,52
1500000US060871205002,060871205002,"Block Group 2, Census Tract 1205, Santa Cruz County, California",693,95
1500000US060871205003,060871205003,"Block Group 3, Census Tract 1205, Santa Cruz County, California",855,138
1500000US060871205004,060871205004,"Block Group 4, Census Tract 1205, Santa Cruz County, California",540,132
1500000US060871205005,060871205005,"Block Group 5, Census Tract 1205, Santa Cruz County, California",406,83
1500000US060871206001,060871206001,"Block Group 1, Census Tract 1206, Santa Cruz County, California",366,98
1500000US060871206002,060871206002,"Block Group 2, Census Tract 1206, Santa Cruz County, California",383,66
1500000US060871206003,060871206003,"Block Group 3, Census Tract 1206, Santa Cruz County, California",316,69
1500000US060871206004,060871206004,"Block Group 4, Census Tract 1206, Santa Cruz County, California",651,85
1500000US060871206005,060871206005,"Block Group 5, Census Tract 1206, Santa Cruz County, California",324,71
1500000US060871207001,060871207001,"Block Group 1, Census Tract 1207, Santa Cruz County, California",531,119
1500000US060871207002,060871207002,"Block Group 2, Census Tract 1207, Santa Cruz County, California",669,107
1500000US060871207003,060871207003,"Block Group 3, Census Tract 1207, Santa Cruz County, California",887,129
1500000US060871208001,060871208001,"Block Group 1, Census Tract 1208, Santa Cruz County, California",1023,113
1500000US060871208002,060871208002,"Block Group 2, Census Tract 1208, Santa Cruz County, California",855,108
1500000US060871208003,060871208003,"Block Group 3, Census Tract 1208, Santa Cruz County, California",576,84
1500000US060871209001,060871209001,"Block Group 1, Census Tract 1209, Santa Cruz County, California",1085,156
1500000US060871209002,060871209002,"Block Group 2, Census Tract 1209, Santa Cruz County, California",505,131
1500000US060871209003,060871209003,"Block Group 3, Census Tract 1209, Santa Cruz County, California",981,134
1500000US060871209004,060871209004,"Block Group 4, Census Tract 1209, Santa Cruz County, California",709,123
1500000US060871210001,060871210001,"Block Group 1, Census Tract 1210, Santa Cruz County, California",690,82
1500000US060871210002,060871210002,"Block Group 2, Census Tract 1210, Santa Cruz County, California",387,69
1500000US060871210003,060871210003,"Block Group 3, Census Tract 1210, Santa Cruz County, California",437,67
1500000US060871211001,060871211001,"Block Group 1, Census Tract 1211, Santa Cruz County, California",343,43
1500000US060871211002,060871211002,"Block Group 2, Census Tract 1211, Santa Cruz County, California",891,65
1500000US060871212001,060871212001,"Block Group 1, Census Tract 1212, Santa Cruz County, California",277,75
1500000US060871212002,060871212002,"Block Group 2, Census Tract 1212, Santa Cruz County, California",492,89
1500000US060871212003,060871212003,"Block Group 3, Census Tract 1212, Santa Cruz County, California",836,142
1500000US060871212004,060871212004,"Block Group 4, Census Tract 1212, Santa Cruz County, California",413,76
1500000US060871212005,060871212005,"Block Group 5, Census Tract 1212, Santa Cruz County, California",480,130
1500000US060871213001,060871213001,"Block Group 1, Census Tract 1213, Santa Cruz County, California",903,89
1500000US060871213002,060871213002,"Block Group 2, Census Tract 1213, Santa Cruz County, California",195,32
1500000US060871213003,060871213003,"Block Group 3, Census Tract 1213, Santa Cruz County, California",410,77
1500000US060871213004,060871213004,"Block Group 4, Census Tract 1213, Santa Cruz County, California",228,63
1500000US060871214011,060871214011,"Block Group 1, Census Tract 1214.01, Santa Cruz County, California",360,71
1500000US060871214012,060871214012,"Block Group 2, Census Tract 1214.01, Santa Cruz County, California",601,72
1500000US060871214021,060871214021,"Block Group 1, Census Tract 1214.02, Santa Cruz County, California",625,95
1500000US060871214022,060871214022,"Block Group 2, Census Tract 1214.02, Santa Cruz County, California",780,105
1500000US060871214023,060871214023,"Block Group 3, Census Tract 1214.02, Santa Cruz County, California",259,61
1500000US060871214031,060871214031,"Block Group 1, Census Tract 1214.03, Santa Cruz County, California",758,82
1500000US060871214032,060871214032,"Block Group 2, Census Tract 1214.03, Santa Cruz County, California",382,66
1500000US060871214033,060871214033,"Block Group 3, Census Tract 1214.03, Santa Cruz County, California",282,69
1500000US060871215001,060871215001,"Block Group 1, Census Tract 1215, Santa Cruz County, California",596,137
1500000US060871215002,060871215002,"Block Group 2, Census Tract 1215, Santa Cruz County, California",560,130
1500000US060871215003,060871215003,"Block Group 3, Census Tract 1215, Santa Cruz County, California",695,141
1500000US060871215004,060871215004,"Block Group 4, Census Tract 1215, Santa Cruz County, California",545,128
1500000US060871215005,060871215005,"Block Group 5, Census Tract 1215, Santa Cruz County, California",462,128
1500000US060871216001,060871216001,"Block Group 1, Census Tract 1216, Santa Cruz County, California",419,102
1500000US060871216002,060871216002,"Block Group 2, Census Tract 1216, Santa Cruz County, California",600,124
1500000US060871216003,060871216003,"Block Group 3, Census Tract 1216, Santa Cruz County, California",1027,148
1500000US060871216004,060871216004,"Block Group 4, Census Tract 1216, Santa Cruz County, California",829,158
1500000US060871216005,060871216005,"Block Group 5, Census Tract 1216, Santa Cruz County, California",521,137
1500000US060871217001,060871217001,"Block Group 1, Census Tract 1217, Santa Cruz County, California",1101,150
1500000US060871217002,060871217002,"Block Group 2, Census Tract 1217, Santa Cruz County, California",220,81
1500000US060871217003,060871217003,"Block Group 3, Census Tract 1217, Santa Cruz County, California",218,69
1500000US060871217004,060871217004,"Block Group 4, Census Tract 1217, Santa Cruz County, California",1066,168
1500000US060871217005,060871217005,"Block Group 5, Census Tract 1217, Santa Cruz County, California",265,94
1500000US060871217006,060871217006,"Block Group 6, Census Tract 1217, Santa Cruz County, California",386,108
1500000US060871218001,060871218001,"Block Group 1, Census Tract 1218, Santa Cruz County, California",698,130
1500000US060871218002,060871218002,"Block Group 2, Census Tract 1218, Santa Cruz County, California",903,161
1500000US060871218003,060871218003,"Block Group 3, Census Tract 1218, Santa Cruz County, California",873,175
1500000US060871218004,060871218004,"Block Group 4, Census Tract 1218, Santa Cruz County, California",209,78
1500000US060871220011,060871220011,"Block Group 1, Census Tract 1220.01, Santa Cruz County, California",541,83
1500000US060871220012,060871220012,"Block Group 2, Census Tract 1220.01, Santa Cruz County, California",238,67
1500000US060871220013,060871220013,"Block Group 3, Census Tract 1220.01, Santa Cruz County, California",317,94
1500000US060871220014,060871220014,"Block Group 4, Census Tract 1220.01, Santa Cruz County, California",244,68
1500000US060871220015,060871220015,"Block Group 5, Census Tract 1220.01, Santa Cruz County, California",674,83
1500000US060871220021,060871220021,"Block Group 1, Census Tract 1220.02, Santa Cruz County, California",971,79
1500000US060871220022,060871220022,"Block Group 2, Census Tract 1220.02, Santa Cruz County, California",493,64
1500000US060871220031,060871220031,"Block Group 1, Census Tract 1220.03, Santa Cruz County, California",475,87
1500000US060871220032,060871220032,"Block Group 2, Census Tract 1220.03, Santa Cruz County, California",498,106
1500000US060871220033,060871220033,"Block Group 3, Census Tract 1220.03, Santa Cruz County, California",1028,152
1500000US060871220034,060871220034,"Block Group 4, Census Tract 1220.03, Santa Cruz County, California",461,121
1500000US060871220035,060871220035,"Block Group 5, Census Tract 1220.03, Santa Cruz County, California",310,123
1500000US060871221001,060871221001,"Block Group 1, Census Tract 1221, Santa Cruz County, California",605,106
1500000US060871221002,060871221002,"Block Group 2, Census Tract 1221, Santa Cruz County, California",689,110
1500000US060871221003,060871221003,"Block Group 3, Census Tract 1221, Santa Cruz County, California",666,97
1500000US060871222011,060871222011,"Block Group 1, Census Tract 1222.01, Santa Cruz County, California",425,114
1500000US060871222012,060871222012,"Block Group 2, Census Tract 1222.01, Santa Cruz County, California",870,165
1500000US060871222013,060871222013,"Block Group 3, Census Tract 1222.01, Santa Cruz County, California",562,112
1500000US060871222014,060871222014,"Block Group 4, Census Tract 1222.01, Santa Cruz County, California",286,107
1500000US060871222015,060871222015,"Block Group 5, Census Tract 1222.01, Santa Cruz County, California",362,117
1500000US060871222016,060871222016,"Block Group 6, Census Tract 1222.01, Santa Cruz County, California",641,125
1500000US060871222017,060871222017,"Block Group 7, Census Tract 1222.01, Santa Cruz County, California",327,104
1500000US060871222021,060871222021,"Block Group 1, Census Tract 1222.02, Santa Cruz County, California",963,34
1500000US060871222031,060871222031,"Block Group 1, Census Tract 1222.03, Santa Cruz County, California",1085,75
1500000US060871222032,060871222032,"Block Group 2, Census Tract 1222.03, Santa Cruz County, California",698,77
1500000US060871223001,060871223001,"Block Group 1, Census Tract 1223, Santa Cruz County, California",834,113
1500000US060871223002,060871223002,"Block Group 2, Census Tract 1223, Santa Cruz County, California",497,93
1500000US060871223003,060871223003,"Block Group 3, Census Tract 1223, Santa Cruz County, California",982,111
1500000US060871224001,060871224001,"Block Group 1, Census Tract 1224, Santa Cruz County, California",880,159
1500000US060871224002,060871224002,"Block Group 2, Census Tract 1224, Santa Cruz County, California",360,79
1500000US060871224003,060871224003,"Block Group 3, Census Tract 1224, Santa Cruz County, California",511,126
1500000US060871224004,060871224004,"Block Group 4, Census Tract 1224, Santa Cruz County, California",394,78
1500000US060871224005,060871224005,"Block Group 5, Census Tract 1224, Santa Cruz County, California",252,68
1500000US060871224006,060871224006,"Block Group 6, Census Tract 1224, Santa Cruz County, California",322,112
1500000US060871225001,060871225001,"Block Group 1, Census Tract 1225, Santa Cruz County, California",327,64
1500000US060871225002,060871225002,"Block Group 2, Census Tract 1225, Santa Cruz County, California",475,100
1500000US060871225003,060871225003,"Block Group 3, Census Tract 1225, Santa Cruz County, California",433,98
1500000US060871225004,060871225004,"Block Group 4, Census Tract 1225, Santa Cruz County, California",332,78
1500000US060871231001,060871231001,"Block Group 1, Census Tract 1231, Santa Cruz County, California",482,59
1500000US060871231002,060871231002,"Block Group 2, Census Tract 1231, Santa Cruz County, California",363,63
1500000US060871233001,060871233001,"Block Group 1, Census Tract 1233, Santa Cruz County, California",482,40
1500000US060879901000,060879901000,"Block Group 0, Census Tract 9901, Santa Cruz County, California",0,12
